mobile_name,mobile_price,mobile_color,dual_sim,disp_size,resolution,os,num_cores,mp_speed,int_memory,ram,p_cam,f_cam,network,bluetooth,battery_power,mob_width,mob_height,mob_depth,mob_weight
"Realme X2 Pro (Lunar White, 128 GB)","₹31,999",Lunar White,Dual Sim,16.51 cm (6.5 inch),2400 x 1080 Pixels,Android Pie 9,Octa Core,2.96 GHz,128 GB,8 GB,64MP + 13MP + 8MP + 2MP,16MP Front Camera,"3G, 4G VOLTE, 4G, 2G",Yes,4000 mAh,75.7 mm,161 mm,8.7 mm,199 g
"Realme 2 Pro (Black Sea, 128 GB)","₹15,490",Black Sea,Dual Sim,16.0 cm (6.3 inch),2340 x 1080 pixels,Android Oreo 8.1,Octa Core,1.95 GHz,128 GB,8 GB,16MP + 2MP,16MP Front Camera,"3G, 4G VOLTE, 2G",Yes,3500 mAh,74 mm,156.7 mm,8.5 mm,174 g
"Realme XT (Pearl Blue, 64 GB)","₹16,999",Pearl Blue,Dual Sim,16.26 cm (6.4 inch),1080 x 2340 Pixels,Android Pie 9.0,Octa Core,2.3 GHz,64 GB,4 GB,64MP + 8MP + 2MP + 2MP Quad Camera,16MP Front Camera,"3G, 4G, 2G",Yes,4000 mAh,75.16 mm,158.7 mm,8.55 mm,183 g
"Realme XT (Pearl White, 64 GB)","₹16,999",Pearl White,Dual Sim,16.26 cm (6.4 inch),1080 x 2340 Pixels,Android Pie 9.0,Octa Core,2.3 GHz,64 GB,4 GB,64MP + 8MP + 2MP + 2MP Quad Camera,16MP Front Camera,"4G, 2G, 3G",Yes,4000 mAh,75.16 mm,158.7 mm,8.55 mm,183 g
"Realme X50 Pro (Rust Red, 128 GB)","₹41,999",Rust Red,Dual Sim,16.36 cm (6.44 inch),1080 x 2400 Pixels,Android 10,Octa Core,2.8 GHz,128 GB,8 GB,64MP + 12MP + 8MP + 2MP,32MP + 8MP Dual Front Camera,"5G, 4G VOLTE, 4G, 3G, 2G",Yes,4200 mAh,74.24 mm,158.96 mm,9.65 mm,207 g
"Realme X50 Pro (Moss Green, 128 GB)","₹41,999",Moss Green,Dual Sim,16.36 cm (6.44 inch),1080 x 2400 Pixels,Android 10,Octa Core,2.8 GHz,128 GB,8 GB,64MP + 12MP + 8MP + 2MP,32MP + 8MP Dual Front Camera,"5G, 4G VOLTE, 4G, 3G, 2G",Yes,4200 mAh,74.24 mm,158.96 mm,9.65 mm,207 g
"Realme X50 Pro (Moss Green, 256 GB)","₹46,999",Moss Green,Dual Sim,16.36 cm (6.44 inch),1080 x 2400 Pixels,Android 10,Octa Core,2.8 GHz,256 GB,12 GB,64MP + 12MP + 8MP + 2MP,32MP + 8MP Dual Front Camera,"5G, 4G VOLTE, 4G, 3G, 2G",Yes,4200 mAh,74.24 mm,158.96 mm,9.65 mm,207 g
"Realme C3 (Frozen Blue, 32 GB)","₹8,999",Frozen Blue,Dual Sim,16.56 cm (6.52 inch),720 x 1600 Pixels,Android 10,Octa Core,2 GHz,32 GB,3 GB,12MP + 2MP,5MP Front Camera,"4G VOLTE, 4G, 3G, 2G",Yes,5000 mAh,75 mm,164.4 mm,8.95 mm,195 g
"Realme 6 (Comet White, 128 GB)","₹16,999",Comet White,Dual Sim,16.51 cm (6.5 inch),2400 x 1080 Pixels,Android 10,Octa Core,2.05 GHz,128 GB,6 GB,64MP + 8MP + 2MP + 2MP,16MP Front Camera,"4G VOLTE, 4G, 3G, 2G",Yes,4300 mAh,74.8 mm,162.1 mm,9.6 mm,191 g
"Realme 6 Pro (Lightning Orange, 128 GB)","₹19,999",Lightning Orange,Dual Sim,16.76 cm (6.6 inch),2400 x 1080 Pixels,Android 10,Octa Core,2.3 GHz,128 GB,8 GB,64MP + 12MP + 8MP + 2MP,16MP + 8MP Dual Front Camera,"4G VOLTE, 4G, 3G, 2G",Yes,4300 mAh,75.8 mm,163.9 mm,9.4 mm,195 g
"Realme 6 Pro (Lightning Blue, 128 GB)","₹19,999",Lightning Blue,Dual Sim,16.76 cm (6.6 inch),2400 x 1080 Pixels,Android 10,Octa Core,2.3 GHz,128 GB,8 GB,64MP + 12MP + 8MP + 2MP,16MP + 8MP Dual Front Camera,"4G VOLTE, 4G, 3G, 2G",Yes,4300 mAh,75.8 mm,163.9 mm,9.4 mm,195 g
"Realme C2 (Diamond Black, 32 GB)","₹6,999",Diamond Black,Dual Sim,15.49 cm (6.1 inch),1560 x 720 pixels,Android Pie 9.0,Octa Core,2 GHz,32 GB,2 GB,13MP + 2MP,5MP Front Camera,"3G, 4G VOLTE, 4G, 2G",Yes,4000 mAh,73.7 mm,154.3 mm,8.5 mm,166 g
"Realme C2 (Diamond Blue, 32 GB)","₹6,999",Diamond Blue,Dual Sim,15.49 cm (6.1 inch),1560 x 720 pixels,Android Pie 9.0,Octa Core,2 GHz,32 GB,2 GB,13MP + 2MP,5MP Front Camera,"3G, 4G VOLTE, 4G, 2G",Yes,4000 mAh,73.7 mm,154.3 mm,8.5 mm,166 g
"Realme C2 (Diamond Black, 32 GB)","₹7,499",Diamond Black,Dual Sim,15.49 cm (6.1 inch),1560 x 720 pixels,Android Pie 9.0,Octa Core,2 GHz,32 GB,3 GB,13MP + 2MP,5MP Front Camera,"3G, 4G VOLTE, 4G, 2G",Yes,4000 mAh,73.7 mm,154.3 mm,8.5 mm,166 g
"Realme C2 (Diamond Blue, 32 GB)","₹7,499",Diamond Blue,Dual Sim,15.49 cm (6.1 inch),1560 x 720 pixels,Android Pie 9.0,Octa Core,2 GHz,32 GB,3 GB,13MP + 2MP,5MP Front Camera,"3G, 4G VOLTE, 4G, 2G",Yes,4000 mAh,73.7 mm,154.3 mm,8.5 mm,166 g
"Realme C2 (Diamond Ruby, 32 GB)","₹7,499",Diamond Ruby,Dual Sim,15.49 cm (6.1 inch),1560 x 720 pixels,Android Pie 9.0,Octa Core,2 GHz,32 GB,3 GB,13MP + 2MP,5MP Front Camera,"3G, 4G VOLTE, 4G, 2G",Yes,4000 mAh,73.7 mm,154.3 mm,8.5 mm,166 g
"Realme 6 (Comet Blue, 128 GB)","₹17,999",Comet Blue,Dual Sim,16.51 cm (6.5 inch),2400 x 1080 Pixels,Android 10,Octa Core,2.05 GHz,128 GB,8 GB,64MP + 8MP + 2MP + 2MP,16MP Front Camera,"4G VOLTE, 4G, 3G, 2G",Yes,4300 mAh,74.8 mm,162.1 mm,9.6 mm,191 g
"Realme C2 (Diamond Sapphire, 32 GB)","₹7,499",Diamond Sapphire,Dual Sim,15.49 cm (6.1 inch),1560 x 720 pixels,Android Pie 9.0,Octa Core,2 GHz,32 GB,3 GB,13MP + 2MP,5MP Front Camera,"3G, 4G VOLTE, 4G, 2G",Yes,4000 mAh,73.7 mm,154.3 mm,8.5 mm,166 g
"Realme 5 Pro (Crystal Green, 64 GB)","₹13,999",Crystal Green,Dual Sim,16.0 cm (6.3 inch),2340 x 1080 pixels,Android Pie 9.0,Octa Core,2.3 GHz,64 GB,4 GB,48MP + 8MP + 2MP + 2MP Quad Camera,16MP Front Camera,"3G, 4G VOLTE, 2G",Yes,4035 mAh,74.2 mm,157 mm,8.9 mm,184 g
"Realme 5s (Crystal Red, 128 GB)","₹11,999",Crystal Red,Dual Sim,16.51 cm (6.5 inch),720 x 1600 Pixels,Android Pie 9,Octa Core,2 GHz,128 GB,4 GB,48MP + 8MP + 2MP + 2MP,13MP Front Camera,"3G, 4G VOLTE, 4G, 2G",Yes,5000 mAh,75.6 mm,164.4 mm,9.3 mm,198 g
"Realme 5s (Crystal Blue, 64 GB)","₹10,999",Crystal Blue,Dual Sim,16.51 cm (6.5 inch),720 x 1600 Pixels,Android Pie 9,Octa Core,2 GHz,64 GB,4 GB,48MP + 8MP + 2MP + 2MP,13MP Front Camera,"3G, 4G VOLTE, 4G, 2G",Yes,5000 mAh,75.6 mm,164.4 mm,9.3 mm,198 g
"Realme 5s (Crystal Purple, 128 GB)","₹11,999",Crystal Purple,Dual Sim,16.51 cm (6.5 inch),720 x 1600 Pixels,Android Pie 9,Octa Core,2 GHz,128 GB,4 GB,48MP + 8MP + 2MP + 2MP,13MP Front Camera,"3G, 4G VOLTE, 4G, 2G",Yes,5000 mAh,75.6 mm,164.4 mm,9.3 mm,198 g
"Realme 5s (Crystal Red, 64 GB)","₹10,999",Crystal Red,Dual Sim,16.51 cm (6.5 inch),720 x 1600 Pixels,Android Pie 9,Octa Core,2 GHz,64 GB,4 GB,48MP + 8MP + 2MP + 2MP,13MP Front Camera,"3G, 4G VOLTE, 4G, 2G",Yes,5000 mAh,75.6 mm,164.4 mm,9.3 mm,198 g
"Realme 5s (Crystal Blue, 128 GB)","₹11,999",Crystal Blue,Dual Sim,16.51 cm (6.5 inch),720 x 1600 Pixels,Android Pie 9,Octa Core,2 GHz,128 GB,4 GB,48MP + 8MP + 2MP + 2MP,13MP Front Camera,"3G, 4G VOLTE, 4G, 2G",Yes,5000 mAh,75.6 mm,164.4 mm,9.3 mm,198 g
"Realme 5s (Crystal Purple, 64 GB)","₹10,999",Crystal Purple,Dual Sim,16.51 cm (6.5 inch),720 x 1600 Pixels,Android Pie 9,Octa Core,2 GHz,64 GB,4 GB,48MP + 8MP + 2MP + 2MP,13MP Front Camera,"3G, 4G VOLTE, 4G, 2G",Yes,5000 mAh,75.6 mm,164.4 mm,9.3 mm,198 g
"Realme X2 Pro (Neptune Blue, 64 GB)","₹29,999",Neptune Blue,Dual Sim,16.51 cm (6.5 inch),2400 x 1080 Pixels,Android Pie 9,Octa Core,2.96 GHz,64 GB,6 GB,64MP + 13MP + 8MP + 2MP,16MP Front Camera,"3G, 4G VOLTE, 4G, 2G",Yes,4000 mAh,75.7 mm,161 mm,8.7 mm,199 g
"Realme X2 Pro (Lunar White, 64 GB)","₹29,999",Lunar White,Dual Sim,16.51 cm (6.5 inch),2400 x 1080 Pixels,Android Pie 9,Octa Core,2.96 GHz,64 GB,6 GB,64MP + 13MP + 8MP + 2MP,16MP Front Camera,"3G, 4G VOLTE, 4G, 2G",Yes,4000 mAh,75.7 mm,161 mm,8.7 mm,199 g
"Realme X2 Pro (Red Brick, 256 GB)","₹36,999",Red Brick,Dual Sim,16.51 cm (6.5 inch),2400 x 1080 Pixels,Android Pie 9,Octa Core,2.96 GHz,256 GB,12 GB,64MP + 13MP + 8MP + 2MP,16MP Front Camera,"3G, 4G VOLTE, 4G, 2G",Yes,4000 mAh,75.7 mm,161 mm,8.7 mm,199 g
"Realme X2 Pro (Concrete, 256 GB)","₹36,999",Concrete,Dual Sim,16.51 cm (6.5 inch),2400 x 1080 Pixels,Android Pie 9,Octa Core,2.96 GHz,256 GB,12 GB,64MP + 13MP + 8MP + 2MP,16MP Front Camera,"3G, 4G VOLTE, 4G, 2G",Yes,4000 mAh,75.7 mm,161 mm,8.7 mm,199 g
"Realme 6 (Comet White, 128 GB)","₹17,999",Comet White,Dual Sim,16.51 cm (6.5 inch),2400 x 1080 Pixels,Android 10,Octa Core,2.05 GHz,128 GB,8 GB,64MP + 8MP + 2MP + 2MP,16MP Front Camera,"4G VOLTE, 4G, 3G, 2G",Yes,4300 mAh,74.8 mm,162.1 mm,9.6 mm,191 g
"Realme C2 (Diamond Sapphire, 32 GB)","₹7,499",Diamond Sapphire,Dual Sim,15.49 cm (6.1 inch),1560 x 720 pixels,Android Pie 9.0,Octa Core,2 GHz,32 GB,3 GB,13MP + 2MP,5MP Front Camera,"3G, 4G VOLTE, 4G, 2G",Yes,4000 mAh,73.7 mm,154.3 mm,8.5 mm,166 g
"Realme 5 Pro (Crystal Green, 64 GB)","₹13,999",Crystal Green,Dual Sim,16.0 cm (6.3 inch),2340 x 1080 pixels,Android Pie 9.0,Octa Core,2.3 GHz,64 GB,4 GB,48MP + 8MP + 2MP + 2MP Quad Camera,16MP Front Camera,"3G, 4G VOLTE, 2G",Yes,4035 mAh,74.2 mm,157 mm,8.9 mm,184 g
"Realme 5s (Crystal Red, 128 GB)","₹11,999",Crystal Red,Dual Sim,16.51 cm (6.5 inch),720 x 1600 Pixels,Android Pie 9,Octa Core,2 GHz,128 GB,4 GB,48MP + 8MP + 2MP + 2MP,13MP Front Camera,"3G, 4G VOLTE, 4G, 2G",Yes,5000 mAh,75.6 mm,164.4 mm,9.3 mm,198 g
"Realme 5s (Crystal Blue, 64 GB)","₹10,999",Crystal Blue,Dual Sim,16.51 cm (6.5 inch),720 x 1600 Pixels,Android Pie 9,Octa Core,2 GHz,64 GB,4 GB,48MP + 8MP + 2MP + 2MP,13MP Front Camera,"3G, 4G VOLTE, 4G, 2G",Yes,5000 mAh,75.6 mm,164.4 mm,9.3 mm,198 g
"Realme 5s (Crystal Purple, 128 GB)","₹11,999",Crystal Purple,Dual Sim,16.51 cm (6.5 inch),720 x 1600 Pixels,Android Pie 9,Octa Core,2 GHz,128 GB,4 GB,48MP + 8MP + 2MP + 2MP,13MP Front Camera,"3G, 4G VOLTE, 4G, 2G",Yes,5000 mAh,75.6 mm,164.4 mm,9.3 mm,198 g
"Realme 5s (Crystal Red, 64 GB)","₹10,999",Crystal Red,Dual Sim,16.51 cm (6.5 inch),720 x 1600 Pixels,Android Pie 9,Octa Core,2 GHz,64 GB,4 GB,48MP + 8MP + 2MP + 2MP,13MP Front Camera,"3G, 4G VOLTE, 4G, 2G",Yes,5000 mAh,75.6 mm,164.4 mm,9.3 mm,198 g
"Realme 5s (Crystal Blue, 128 GB)","₹11,999",Crystal Blue,Dual Sim,16.51 cm (6.5 inch),720 x 1600 Pixels,Android Pie 9,Octa Core,2 GHz,128 GB,4 GB,48MP + 8MP + 2MP + 2MP,13MP Front Camera,"3G, 4G VOLTE, 4G, 2G",Yes,5000 mAh,75.6 mm,164.4 mm,9.3 mm,198 g
"Realme 5s (Crystal Purple, 64 GB)","₹10,999",Crystal Purple,Dual Sim,16.51 cm (6.5 inch),720 x 1600 Pixels,Android Pie 9,Octa Core,2 GHz,64 GB,4 GB,48MP + 8MP + 2MP + 2MP,13MP Front Camera,"3G, 4G VOLTE, 4G, 2G",Yes,5000 mAh,75.6 mm,164.4 mm,9.3 mm,198 g
"Realme X2 Pro (Neptune Blue, 64 GB)","₹29,999",Neptune Blue,Dual Sim,16.51 cm (6.5 inch),2400 x 1080 Pixels,Android Pie 9,Octa Core,2.96 GHz,64 GB,6 GB,64MP + 13MP + 8MP + 2MP,16MP Front Camera,"3G, 4G VOLTE, 4G, 2G",Yes,4000 mAh,75.7 mm,161 mm,8.7 mm,199 g
"Realme X2 Pro (Lunar White, 64 GB)","₹29,999",Lunar White,Dual Sim,16.51 cm (6.5 inch),2400 x 1080 Pixels,Android Pie 9,Octa Core,2.96 GHz,64 GB,6 GB,64MP + 13MP + 8MP + 2MP,16MP Front Camera,"3G, 4G VOLTE, 4G, 2G",Yes,4000 mAh,75.7 mm,161 mm,8.7 mm,199 g
"Realme X2 Pro (Red Brick, 256 GB)","₹36,999",Red Brick,Dual Sim,16.51 cm (6.5 inch),2400 x 1080 Pixels,Android Pie 9,Octa Core,2.96 GHz,256 GB,12 GB,64MP + 13MP + 8MP + 2MP,16MP Front Camera,"3G, 4G VOLTE, 4G, 2G",Yes,4000 mAh,75.7 mm,161 mm,8.7 mm,199 g
"Realme X2 Pro (Concrete, 256 GB)","₹36,999",Concrete,Dual Sim,16.51 cm (6.5 inch),2400 x 1080 Pixels,Android Pie 9,Octa Core,2.96 GHz,256 GB,12 GB,64MP + 13MP + 8MP + 2MP,16MP Front Camera,"3G, 4G VOLTE, 4G, 2G",Yes,4000 mAh,75.7 mm,161 mm,8.7 mm,199 g
"Realme X2 (Pearl White, 128 GB)","₹19,999",Pearl White,Dual Sim,16.26 cm (6.4 inch),1080 x 2340 Pixels,Android Pie 9,Octa Core,2.2 GHz,128 GB,6 GB,64MP + 8MP + 2MP + 2MP,32MP Front Camera,"4G VOLTE, 4G, 3G, 2G",Yes,4000 mAh,75.2 mm,158.7 mm,8.6 mm,182 g
"Realme X2 (Pearl Green, 128 GB)","₹19,999",Pearl Green,Dual Sim,16.26 cm (6.4 inch),1080 x 2340 Pixels,Android Pie 9,Octa Core,2.2 GHz,128 GB,6 GB,64MP + 8MP + 2MP + 2MP,32MP Front Camera,"4G VOLTE, 4G, 3G, 2G",Yes,4000 mAh,75.2 mm,158.7 mm,8.6 mm,182 g
"Realme X2 (Pearl Blue, 64 GB)","₹17,999",Pearl Blue,Dual Sim,16.26 cm (6.4 inch),1080 x 2340 Pixels,Android Pie 9,Octa Core,2.2 GHz,64 GB,4 GB,64MP + 8MP + 2MP + 2MP,32MP Front Camera,"4G VOLTE, 4G, 3G, 2G",Yes,4000 mAh,75.2 mm,158.7 mm,8.6 mm,182 g
"Realme X2 (Pearl Green, 64 GB)","₹17,999",Pearl Green,Dual Sim,16.26 cm (6.4 inch),1080 x 2340 Pixels,Android Pie 9,Octa Core,2.2 GHz,64 GB,4 GB,64MP + 8MP + 2MP + 2MP,32MP Front Camera,"4G VOLTE, 4G, 3G, 2G",Yes,4000 mAh,75.2 mm,158.7 mm,8.6 mm,182 g
"Realme X2 (Pearl Green, 128 GB)","₹20,999",Pearl Green,Dual Sim,16.26 cm (6.4 inch),1080 x 2340 Pixels,Android Pie 9,Octa Core,2.2 GHz,128 GB,8 GB,64MP + 8MP + 2MP + 2MP,32MP Front Camera,"4G VOLTE, 4G, 3G, 2G",Yes,4000 mAh,75.2 mm,158.7 mm,8.6 mm,182 g
"Realme X2 (Pearl Blue, 128 GB)","₹19,999",Pearl Blue,Dual Sim,16.26 cm (6.4 inch),1080 x 2340 Pixels,Android Pie 9,Octa Core,2.2 GHz,128 GB,6 GB,64MP + 8MP + 2MP + 2MP,32MP Front Camera,"4G VOLTE, 4G, 3G, 2G",Yes,4000 mAh,75.2 mm,158.7 mm,8.6 mm,182 g
"Realme X2 (Pearl Blue, 128 GB)","₹20,999",Pearl Blue,Dual Sim,16.26 cm (6.4 inch),1080 x 2340 Pixels,Android Pie 9,Octa Core,2.2 GHz,128 GB,8 GB,64MP + 8MP + 2MP + 2MP,32MP Front Camera,"4G VOLTE, 4G, 3G, 2G",Yes,4000 mAh,75.2 mm,158.7 mm,8.6 mm,182 g
"Realme X2 (Pearl White, 128 GB)","₹20,999",Pearl White,Dual Sim,16.26 cm (6.4 inch),1080 x 2340 Pixels,Android Pie 9,Octa Core,2.2 GHz,128 GB,8 GB,64MP + 8MP + 2MP + 2MP,32MP Front Camera,"4G VOLTE, 4G, 3G, 2G",Yes,4000 mAh,75.2 mm,158.7 mm,8.6 mm,182 g
"Realme C2 (Diamond Blue, 16 GB)","₹6,499",Diamond Blue,Dual Sim,15.49 cm (6.1 inch),1560 x 720 pixels,Android Pie 9.0,Octa Core,2 GHz,16 GB,2 GB,13MP + 2MP,5MP Front Camera,"3G, 4G VOLTE, 4G, 2G",Yes,4000 mAh,73.7 mm,154.3 mm,8.5 mm,166 g
"Realme Narzo 10 (That Blue, 128 GB)","₹11,999",That Blue,Dual Sim,16.51 cm (6.5 inch),1600 x 720 Pixels,Android 10,Octa Core,2 GHz,128 GB,4 GB,48MP + 8MP + 2MP + 2MP,16MP Front Camera,"4G VOLTE, 4G, 3G, 2G",Yes,5000 mAh,75.4 mm,164.4 mm,9 mm,199 g
"Realme X3 (Glacier Blue, 128 GB)","₹25,999",Glacier Blue,Dual Sim,16.69 cm (6.57 inch),2400 × 1080 Pixels,Android 10,Octa Core,2.96 GHz,128 GB,8 GB,64MP + 12MP + 8MP + 2MP,16MP + 8MP Dual Front Camera,"4G VOLTE, 4G, 3G, 2G",Yes,4200 mAh,75.8 mm,163.8 mm,9.3 mm,202 g
"Realme X3 (Glacier Blue, 128 GB)","₹24,999",Glacier Blue,Dual Sim,16.69 cm (6.57 inch),2400 × 1080 Pixels,Android 10,Octa Core,2.96 GHz,128 GB,6 GB,64MP + 12MP + 8MP + 2MP,16MP + 8MP Dual Front Camera,"4G VOLTE, 4G, 3G, 2G",Yes,4200 mAh,75.8 mm,163.8 mm,9.3 mm,202 g
"Realme X3 (Arctic White, 128 GB)","₹25,999",Arctic White,Dual Sim,16.69 cm (6.57 inch),2400 × 1080 Pixels,Android 10,Octa Core,2.96 GHz,128 GB,8 GB,64MP + 12MP + 8MP + 2MP,16MP + 8MP Dual Front Camera,"4G VOLTE, 4G, 3G, 2G",Yes,4200 mAh,75.8 mm,163.8 mm,9.3 mm,202 g
"Realme X3 SuperZoom (Glacier Blue, 128 GB)","₹27,999",Glacier Blue,Dual Sim,16.69 cm (6.57 inch),2400 × 1080 Pixels,Android 10,Octa Core,2.96 GHz,128 GB,8 GB,64MP + 8MP + 8MP + 2MP,32MP + 8MP Dual Front Camera,"4G VOLTE, 4G, 3G, 2G",Yes,4200 mAh,75.8 mm,163.8 mm,9.3 mm,202 g
"Realme X3 SuperZoom (Glacier Blue, 256 GB)","₹32,999",Glacier Blue,Dual Sim,16.69 cm (6.57 inch),2400 × 1080 Pixels,Android 10,Octa Core,2.96 GHz,256 GB,12 GB,64MP + 8MP + 8MP + 2MP,32MP + 8MP Dual Front Camera,"4G VOLTE, 4G, 3G, 2G",Yes,4200 mAh,75.8 mm,163.8 mm,9.3 mm,202 g
"Realme X3 SuperZoom (Arctic White, 256 GB)","₹32,999",Arctic White,Dual Sim,16.69 cm (6.57 inch),2400 × 1080 Pixels,Android 10,Octa Core,2.96 GHz,256 GB,12 GB,64MP + 8MP + 8MP + 2MP,32MP + 8MP Dual Front Camera,"4G VOLTE, 4G, 3G, 2G",Yes,4200 mAh,75.8 mm,163.8 mm,9.3 mm,202 g
"Realme X3 SuperZoom (Arctic White, 128 GB)","₹27,999",Arctic White,Dual Sim,16.69 cm (6.57 inch),2400 × 1080 Pixels,Android 10,Octa Core,2.96 GHz,128 GB,8 GB,64MP + 8MP + 8MP + 2MP,32MP + 8MP Dual Front Camera,"4G VOLTE, 4G, 3G, 2G",Yes,4200 mAh,75.8 mm,163.8 mm,9.3 mm,202 g
"Realme 3 (Dynamic Black, 32 GB)","₹8,499",Dynamic Black,Dual Sim,15.8 cm (6.22 inch),1520 x 720 pixels,Android Pie 9.0,Octa Core,2.1 GHz,32 GB,3 GB,13MP + 2MP,13MP Front Camera,"3G, 4G VOLTE, 4G, 2G",Yes,4230 mAh,75.6 mm,156.1 mm,8.3 mm,175 g
"Realme 3 (Diamond Red, 64 GB)","₹9,499",Diamond Red,Dual Sim,15.8 cm (6.22 inch),1520 x 720 pixels,Android Pie 9,Octa Core,2.1 GHz,64 GB,4 GB,13MP + 2MP,13MP Front Camera,"3G, 4G VOLTE, 4G, 2G",Yes,4230 mAh,75.6 mm,156.1 mm,8.3 mm,175 g
